Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier Code,Origin Code,Dest Code,Distance,dep_dela1ed_15mi0
8,21,7,1934,1,19,80,732,0
4,20,3,1548,19,219,173,834,0
9,2,5,1422,21,230,61,416,0
11,25,6,1015,16,79,177,872,0
10,7,6,1828,20,175,202,423,1
8,3,4,1918,14,177,173,683,0
1,27,4,754,7,210,159,1035,0
4,29,6,635,15,194,72,596,0
7,28,5,735,1,204,80,1189,0
6,20,2,2029,16,79,221,853,0
5,21,6,1736,7,25,72,661,0
3,5,7,1205,20,215,263,1262,0
10,6,4,2124,3,152,247,866,0
8,20,6,737,1,80,253,1438,0
11,10,4,1447,18,79,253,948,0
9,20,2,1642,13,85,205,299,0
9,19,2,1801,5,64,133,986,0
7,26,2,620,7,206,19,516,0
10,14,5,1704,16,256,247,689,1
10,5,4,1205,19,215,64,1671,0
8,22,2,1521,1,63,80,936,0
6,21,3,1519,8,19,137,377,1
11,26,6,1417,7,116,19,306,0
11,9,3,918,6,132,64,299,0
12,31,6,1837,7,19,194,906,0
4,4,1,635,20,257,215,647,0
7,3,7,1350,1,101,159,1076,0
4,16,7,1235,20,75,21,189,0
5,31,3,1513,13,205,268,607,0
4,18,1,619,1,205,154,1745,0
8,30,3,610,22,142,125,216,0
5,9,1,1327,1,80,206,1213,0
1,20,5,1130,7,205,72,264,0
12,3,7,1653,8,19,197,317,1
10,1,6,1454,7,256,211,630,0
3,24,4,2303,19,63,57,168,1
5,6,5,1728,20,238,257,480,1
5,5,4,650,8,234,19,357,0
1,28,5,2046,13,159,86,501,0
7,9,6,747,13,205,177,491,0
9,20,2,707,13,248,259,372,0
7,15,5,1144,9,79,214,1557,0
3,17,4,823,6,117,132,383,0
4,18,1,1200,20,247,215,1107,0
9,8,5,809,7,74,19,366,0
11,10,4,1825,20,253,154,308,0
3,10,4,742,18,80,205,802,0
4,12,2,1913,13,162,80,304,0
10,3,2,716,18,154,247,954,0
10,20,5,2312,2,199,152,407,1
9,9,6,1520,22,247,215,1107,1
2,21,2,555,22,67,215,551,0
7,24,7,1050,15,201,72,756,0
8,14,1,1519,17,215,200,2845,0
2,15,2,1527,13,80,2,158,0
3,17,4,551,18,115,205,137,0
7,21,4,1405,12,253,152,386,0
12,1,4,1854,4,147,215,2153,0
9,5,2,1831,10,19,194,906,1
6,7,3,1020,20,36,256,291,0
10,28,5,658,5,205,93,719,0
1,18,3,1830,7,19,177,332,0
4,19,2,1519,7,171,19,692,0
1,27,5,1435,20,48,225,328,0
3,26,6,1310,1,30,80,597,0
4,29,5,1928,13,69,80,354,0
10,3,2,827,9,79,248,967,0
7,22,5,1955,15,37,230,612,0
7,25,2,1723,20,79,175,895,0
9,4,7,1645,20,239,75,248,0
4,8,6,631,21,214,61,363,0
6,5,7,1436,19,206,214,211,0
6,6,2,1932,18,79,86,1123,1
7,2,7,700,14,194,152,1300,0
12,10,7,813,20,75,239,248,0
12,14,4,1809,20,263,256,1156,0
12,15,4,1230,20,36,233,335,0
10,6,5,2010,15,159,146,834,1
5,15,1,1430,16,58,248,153,0
5,2,2,1350,20,21,128,273,0
4,27,4,557,1,159,205,733,0
11,29,2,610,1,256,205,1249,0
1,24,2,1344,21,133,145,351,0
6,25,7,555,16,66,256,298,0
10,22,6,1248,11,125,257,2462,0
6,16,4,1345,20,233,211,444,1
10,18,2,1956,1,205,93,719,0
3,12,7,1250,13,35,205,409,1
12,25,7,1020,20,272,141,1034,0
2,14,2,907,14,80,86,987,0
10,27,4,1907,9,79,80,641,0
1,28,5,2135,20,35,272,612,0
5,9,1,758,1,182,147,1090,0
12,16,6,955,16,256,99,532,0
5,29,1,1709,7,19,219,526,0
3,13,7,1510,15,92,72,170,0
5,10,3,1514,21,220,133,489,0
1,1,6,1100,20,152,175,1521,0
7,21,4,1046,20,238,253,417,1
1,14,6,937,19,93,63,529,0
7,16,6,1003,1,80,21,190,0
2,3,5,1920,20,154,215,370,1
4,16,7,1913,19,63,46,546,0
12,24,6,1819,5,133,201,395,0
7,26,3,1152,20,214,152,2176,0
2,19,7,1011,18,79,133,861,0
9,7,4,1922,3,247,16,1449,1
3,11,5,1735,5,48,133,1235,0
8,28,1,831,10,237,19,515,0
6,4,7,2126,18,79,154,862,0
12,13,3,1953,22,147,132,228,1
10,24,2,1557,7,19,238,1891,0
3,22,2,605,3,16,26,399,0
5,8,7,1004,3,204,247,956,0
4,25,2,1806,3,199,247,671,0
4,14,5,952,19,63,101,631,0
12,13,3,1547,13,154,241,89,0
10,13,4,1752,16,171,205,403,0
12,9,6,945,22,215,110,438,0
12,15,4,1241,21,69,133,201,1
8,7,7,1427,16,259,154,36,0
9,13,3,1650,20,15,75,324,0
3,10,5,848,18,194,79,680,0
3,30,4,2120,1,154,182,2342,0
4,11,2,805,8,263,256,1156,0
12,23,6,604,18,248,79,967,0
1,31,2,1431,16,79,49,525,0
9,16,5,843,1,205,79,888,1
